,Sentiment_Flag
10712,Neutral_or_Positive
10718,Negative
10724,Neutral_or_Positive
10736,Neutral_or_Positive
10752,Negative
10759,Negative
10777,Negative
10779,Negative
10787,Negative
10788,Negative
10791,Neutral_or_Positive
10799,Neutral_or_Positive
10819,Negative
10825,Neutral_or_Positive
10853,Negative
10866,Negative
10868,Neutral_or_Positive
10886,Neutral_or_Positive
10892,Neutral_or_Positive
10911,Negative
10912,Negative
10915,Negative
10925,Neutral_or_Positive
10944,Neutral_or_Positive
10948,Negative
10951,Neutral_or_Positive
10952,Neutral_or_Positive
10955,Negative
10977,Neutral_or_Positive
10978,Neutral_or_Positive
10991,Neutral_or_Positive
10995,Neutral_or_Positive
10996,Negative
11007,Neutral_or_Positive
11018,Negative
11022,Negative
11023,Neutral_or_Positive
11024,Neutral_or_Positive
11031,Negative
11042,Neutral_or_Positive
11045,Negative
11048,Neutral_or_Positive
11052,Negative
11062,Negative
11067,Negative
11071,Neutral_or_Positive
11092,Neutral_or_Positive
11093,Neutral_or_Positive
11103,Negative
11114,Negative
11125,Neutral_or_Positive
11130,Negative
11162,Neutral_or_Positive
11181,Neutral_or_Positive
11186,Negative
11197,Neutral_or_Positive
11198,Neutral_or_Positive
11223,Neutral_or_Positive
11236,Negative
11244,Negative
11247,Negative
11253,Negative
11258,Neutral_or_Positive
11275,Negative
11276,Negative
11281,Negative
11282,Neutral_or_Positive
11299,Neutral_or_Positive
11303,Neutral_or_Positive
11323,Negative
11327,Negative
11379,Negative
11389,Neutral_or_Positive
11399,Neutral_or_Positive
11408,Neutral_or_Positive
11424,Neutral_or_Positive
11452,Negative
11453,Neutral_or_Positive
11479,Neutral_or_Positive
11480,Negative
11488,Negative
11491,Negative
11500,Neutral_or_Positive
11502,Neutral_or_Positive
11504,Neutral_or_Positive
11512,Neutral_or_Positive
11521,Neutral_or_Positive
11533,Neutral_or_Positive
11542,Neutral_or_Positive
11551,Negative
11620,Neutral_or_Positive
11643,Neutral_or_Positive
11651,Negative
11660,Neutral_or_Positive
11686,Neutral_or_Positive
11710,Neutral_or_Positive
11713,Neutral_or_Positive
11722,Neutral_or_Positive
11751,Neutral_or_Positive
11754,Negative
11760,Negative
11767,Neutral_or_Positive
11773,Neutral_or_Positive
11774,Negative
11800,Neutral_or_Positive
11802,Negative
11804,Negative
11834,Neutral_or_Positive
11843,Negative
11848,Negative
11853,Neutral_or_Positive
11859,Neutral_or_Positive
11874,Neutral_or_Positive
11878,Negative
11887,Neutral_or_Positive
11907,Neutral_or_Positive
11912,Neutral_or_Positive
11915,Negative
11929,Negative
11939,Neutral_or_Positive
11949,Negative
11961,Neutral_or_Positive
11966,Negative
11991,Neutral_or_Positive
11998,Neutral_or_Positive
12003,Neutral_or_Positive
12027,Negative
12029,Neutral_or_Positive
12031,Negative
12033,Negative
12034,Neutral_or_Positive
12044,Neutral_or_Positive
12053,Neutral_or_Positive
12075,Neutral_or_Positive
12079,Neutral_or_Positive
12087,Neutral_or_Positive
12114,Negative
12126,Neutral_or_Positive
12132,Negative
12143,Neutral_or_Positive
12146,Neutral_or_Positive
12159,Neutral_or_Positive
12192,Neutral_or_Positive
12198,Neutral_or_Positive
12210,Neutral_or_Positive
12213,Neutral_or_Positive
12231,Neutral_or_Positive
12251,Negative
12255,Negative
12281,Neutral_or_Positive
12294,Neutral_or_Positive
12297,Negative
12309,Neutral_or_Positive
12331,Negative
12346,Neutral_or_Positive
12354,Neutral_or_Positive
12356,Negative
12362,Neutral_or_Positive
12371,Neutral_or_Positive
12393,Negative
12403,Neutral_or_Positive
12415,Neutral_or_Positive
12422,Neutral_or_Positive
12445,Neutral_or_Positive
12451,Neutral_or_Positive
12454,Neutral_or_Positive
12474,Neutral_or_Positive
12476,Neutral_or_Positive
12519,Negative
12525,Negative
12546,Neutral_or_Positive
12556,Neutral_or_Positive
12558,Negative
12563,Negative
12572,Negative
12592,Neutral_or_Positive
12596,Neutral_or_Positive
12597,Negative
12606,Neutral_or_Positive
12623,Neutral_or_Positive
12624,Neutral_or_Positive
12655,Negative
12663,Negative
12670,Negative
12684,Neutral_or_Positive
12715,Negative
12716,Neutral_or_Positive
12736,Neutral_or_Positive
12738,Neutral_or_Positive
12741,Neutral_or_Positive
12743,Negative
12752,Negative
12756,Negative
12763,Neutral_or_Positive
12776,Neutral_or_Positive
12791,Neutral_or_Positive
12811,Neutral_or_Positive
12820,Neutral_or_Positive
12824,Negative
12844,Negative
12848,Neutral_or_Positive
12849,Negative
12850,Neutral_or_Positive
12876,Negative
12878,Negative
12879,Negative
12884,Neutral_or_Positive
12891,Negative
12894,Negative
12895,Neutral_or_Positive
12899,Neutral_or_Positive
12900,Negative
12902,Negative
12911,Neutral_or_Positive
12924,Negative
12926,Neutral_or_Positive
12935,Negative
12957,Negative
12958,Neutral_or_Positive
12981,Negative
12989,Negative
12994,Neutral_or_Positive
12995,Neutral_or_Positive
13003,Neutral_or_Positive
